channel x_pos y_pos z_pos
200 -8.0 90.0 0.0
201 24.0 90.0 0.0
202 -24.0 110.0 0.0
203 8.0 110.0 0.0
204 -8.0 130.0 0.0
205 24.0 130.0 0.0
206 -24.0 150.0 0.0
207 8.0 150.0 0.0
208 -8.0 170.0 0.0
209 24.0 170.0 0.0
210 -24.0 190.0 0.0
211 8.0 190.0 0.0
212 -8.0 210.0 0.0
213 24.0 210.0 0.0
214 -24.0 230.0 0.0
215 8.0 230.0 0.0
216 -8.0 250.0 0.0
217 24.0 250.0 0.0
218 -24.0 270.0 0.0
219 8.0 270.0 0.0
220 -8.0 290.0 0.0
221 24.0 290.0 0.0
222 -24.0 310.0 0.0
223 8.0 310.0 0.0
224 -8.0 330.0 0.0
225 24.0 330.0 0.0
226 -24.0 350.0 0.0
227 8.0 350.0 0.0
228 -8.0 370.0 0.0
229 24.0 370.0 0.0
230 -24.0 390.0 0.0
231 8.0 390.0 0.0
232 -8.0 410.0 0.0
233 24.0 410.0 0.0
234 -24.0 430.0 0.0
235 8.0 430.0 0.0
236 -8.0 450.0 0.0
237 24.0 450.0 0.0
238 -24.0 470.0 0.0
239 8.0 470.0 0.0
240 -8.0 490.0 0.0
241 24.0 490.0 0.0
242 -24.0 510.0 0.0
243 8.0 510.0 0.0
244 -8.0 530.0 0.0
245 24.0 530.0 0.0
246 -24.0 550.0 0.0
247 8.0 550.0 0.0
248 -8.0 570.0 0.0
249 24.0 570.0 0.0
250 -24.0 590.0 0.0
251 8.0 590.0 0.0
252 -8.0 610.0 0.0
253 24.0 610.0 0.0
254 -24.0 630.0 0.0
255 8.0 630.0 0.0
256 -8.0 650.0 0.0
257 24.0 650.0 0.0
258 -24.0 670.0 0.0
259 8.0 670.0 0.0
260 -8.0 690.0 0.0
261 24.0 690.0 0.0
262 -24.0 710.0 0.0
263 8.0 710.0 0.0
264 -8.0 730.0 0.0
265 24.0 730.0 0.0
266 -24.0 750.0 0.0
267 8.0 750.0 0.0
268 -8.0 770.0 0.0
269 24.0 770.0 0.0
270 -24.0 790.0 0.0
271 8.0 790.0 0.0
272 -8.0 810.0 0.0
273 24.0 810.0 0.0
274 -24.0 830.0 0.0
275 8.0 830.0 0.0
276 -8.0 850.0 0.0
277 24.0 850.0 0.0
278 -24.0 870.0 0.0
279 8.0 870.0 0.0
280 -8.0 890.0 0.0
281 24.0 890.0 0.0
282 -24.0 910.0 0.0
283 8.0 910.0 0.0
284 -8.0 930.0 0.0
285 24.0 930.0 0.0
286 -24.0 950.0 0.0
287 8.0 950.0 0.0
288 -8.0 970.0 0.0
289 24.0 970.0 0.0
290 -24.0 990.0 0.0
291 8.0 990.0 0.0
292 -8.0 1010.0 0.0
293 24.0 1010.0 0.0
294 -24.0 1030.0 0.0
295 8.0 1030.0 0.0
296 -8.0 1050.0 0.0
297 24.0 1050.0 0.0
298 -24.0 1070.0 0.0
299 8.0 1070.0 0.0
300 -8.0 1090.0 0.0
301 24.0 1090.0 0.0
302 -24.0 1110.0 0.0
303 8.0 1110.0 0.0
304 -8.0 1130.0 0.0
305 24.0 1130.0 0.0
306 -24.0 1150.0 0.0
307 8.0 1150.0 0.0
308 -8.0 1170.0 0.0
309 24.0 1170.0 0.0
310 -24.0 1190.0 0.0
311 8.0 1190.0 0.0
312 -8.0 1210.0 0.0
313 24.0 1210.0 0.0
314 -24.0 1230.0 0.0
315 8.0 1230.0 0.0
316 -8.0 1250.0 0.0
317 24.0 1250.0 0.0
318 -24.0 1270.0 0.0
319 8.0 1270.0 0.0
320 -8.0 1290.0 0.0
321 24.0 1290.0 0.0
322 -24.0 1310.0 0.0
323 8.0 1310.0 0.0
324 -8.0 1330.0 0.0
325 24.0 1330.0 0.0
326 -24.0 1350.0 0.0
327 8.0 1350.0 0.0
328 -8.0 1370.0 0.0
329 24.0 1370.0 0.0
330 -24.0 1390.0 0.0
331 8.0 1390.0 0.0
332 -8.0 1410.0 0.0
333 24.0 1410.0 0.0
334 -24.0 1430.0 0.0
335 8.0 1430.0 0.0
336 -8.0 1450.0 0.0
337 24.0 1450.0 0.0
338 -24.0 1470.0 0.0
339 8.0 1470.0 0.0
340 -8.0 1490.0 0.0
341 24.0 1490.0 0.0
342 -24.0 1510.0 0.0
343 8.0 1510.0 0.0
344 -8.0 1530.0 0.0
345 24.0 1530.0 0.0
346 -24.0 1550.0 0.0
347 8.0 1550.0 0.0
348 -8.0 1570.0 0.0
349 24.0 1570.0 0.0
350 -24.0 1590.0 0.0
351 8.0 1590.0 0.0
352 -8.0 1610.0 0.0
353 24.0 1610.0 0.0
354 -24.0 1630.0 0.0
355 8.0 1630.0 0.0
356 -8.0 1650.0 0.0
357 24.0 1650.0 0.0
358 -24.0 1670.0 0.0
359 8.0 1670.0 0.0
360 -8.0 1690.0 0.0
361 24.0 1690.0 0.0
362 -24.0 1710.0 0.0
363 8.0 1710.0 0.0
364 -8.0 1730.0 0.0
365 24.0 1730.0 0.0
366 -24.0 1750.0 0.0
367 8.0 1750.0 0.0
368 -8.0 1770.0 0.0
369 24.0 1770.0 0.0
370 -24.0 1790.0 0.0
371 8.0 1790.0 0.0
372 -8.0 1810.0 0.0
373 24.0 1810.0 0.0
374 -24.0 1830.0 0.0
375 8.0 1830.0 0.0
376 -8.0 1850.0 0.0
377 24.0 1850.0 0.0
378 -24.0 1870.0 0.0
379 8.0 1870.0 0.0
380 -8.0 1890.0 0.0
381 24.0 1890.0 0.0
382 -24.0 1910.0 0.0
383 8.0 1910.0 0.0
